date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:37	87786/87786	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:37%20GMT	https://www.supergres.com/fr/collections/story/?ambience=332	D:/porject/p2/www.supergres.com/fr/collections/story/index8817.html	(from https://www.supergres.com/fr/collections/setting/living/)
11:51:40	79748/79748	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:37%20GMT	https://www.supergres.com/fr/collections/travel/?ambience=347	D:/porject/p2/www.supergres.com/fr/collections/travel/indexe302.html	(from https://www.supergres.com/fr/collections/setting/living/)
11:51:40	75875/75875	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:38%20GMT	https://www.supergres.com/fr/collections/4ever/?ambience=589	D:/porject/p2/www.supergres.com/fr/collections/4ever/indexd8ec.html	(from https://www.supergres.com/fr/collections/setting/chambre/)
11:51:40	92870/92870	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:38%20GMT	https://www.supergres.com/fr/collections/yourmatch/?ambience=500	D:/porject/p2/www.supergres.com/fr/collections/yourmatch/index3f71.html	(from https://www.supergres.com/fr/collections/setting/living/)
11:51:40	196808/196808	---M--	200	added ('OK')	image/jpeg	etag:%2260f92595-300c8%22	https://www.supergres.com/media/__sized__/products/ambience/image/ART_T20_Part_ART_GRAPHITE_DD16-crop-c0-5__0-5-800x1100-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/ART_T20_Part_ART_GRAPHITE_DD16-crop-c0-5__0-5-800x1100-70.jpg	(from https://www.supergres.com/en/collections/art/)
11:51:41	61313/61313	---M--	200	added ('OK')	image/jpeg	etag:%2260f925d5-ef81%22	https://www.supergres.com/media/__sized__/products/ambience/image/supergres_art_clay_living_det01_DD16-crop-c0-5__0-5-800x1100-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/supergres_art_clay_living_det01_DD16-crop-c0-5__0-5-800x1100-70.jpg	(from https://www.supergres.com/en/collections/art/)
11:51:41	77898/77898	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:41%20GMT	https://www.supergres.com/fr/collections/ekho/?ambience=91	D:/porject/p2/www.supergres.com/fr/collections/ekho/indexcf7a.html	(from https://www.supergres.com/fr/collections/setting/chambre/)
11:51:43	72421/72421	---M--	200	added ('OK')	image/jpeg	etag:%2260f925c0-11ae5%22	https://www.supergres.com/media/__sized__/products/ambience/image/Supergres_ristorante_Art_clay_part2_DD16-crop-c0-5__0-5-800x1100-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/Supergres_ristorante_Art_clay_part2_DD16-crop-c0-5__0-5-800x1100-70.jpg	(from https://www.supergres.com/en/collections/art/)
11:51:43	90248/90248	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:41%20GMT	https://www.supergres.com/fr/collections/four-seasons/?ambience=373	D:/porject/p2/www.supergres.com/fr/collections/four-seasons/index94c5.html	(from https://www.supergres.com/fr/collections/setting/chambre/)
11:51:43	72939/72939	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2006:21:41%20GMT	https://www.supergres.com/fr/collections/freedhome/?ambience=539	D:/porject/p2/www.supergres.com/fr/collections/freedhome/index094b.html	(from https://www.supergres.com/fr/collections/setting/chambre/)
